64.13,-9.79,-6.32,1.18,-0.20,0.55
5.25,-7.94,-4.68,-2.02,-1.29,-1.23
3.86,-6.66,-4.84,1.28,-0.62,-0.45
4.92,-9.40,-6.56,2.63,-0.67,0.69
4.37,-9.54,-5.71,-2.24,-1.57,-1.61
2.84,-8.47,-5.32,0.28,-1.08,-1.32
4.89,-8.91,-5.56,2.32,-1.33,0.64
4.38,-8.80,-6.64,-0.36,-2.08,-1.62
3.27,-7.49,-3.94,-1.40,-0.82,-3.18
3.90,-9.48,-5.24,5.63,-1.10,1.97
5.78,-9.69,-7.34,2.08,-2.37,0.63
5.10,-9.17,-5.46,-3.34,-2.14,-2.49
3.89,-5.24,-4.03,0.59,-1.11,-1.86
3.09,-10.29,-6.68,4.71,-1.08,1.26
3.98,-10.27,-6.99,-1.93,-1.81,-0.46
2.90,-5.45,-4.92,0.84,-0.95,-0.90
4.08,-10.75,-6.86,4.18,-0.30,3.03
4.53,-11.50,-6.57,-3.13,-1.60,-2.15
3.23,-7.83,-4.01,-0.57,-0.69,-1.04
2.96,-9.68,-6.91,2.32,-0.07,1.20
4.28,-9.66,-4.29,-4.48,-0.84,-3.05
2.05,-3.62,-4.22,0.61,-0.35,-0.17
3.87,-12.11,-6.12,6.05,0.15,4.61
4.29,-12.45,-7.33,-1.12,-0.59,-1.54
1.63,-11.13,-5.17,-5.41,0.59,-3.21
1.93,-3.32,-4.38,-0.61,0.28,1.22
4.97,-9.14,-5.19,4.66,0.41,3.45
5.12,-10.01,-7.27,-0.49,0.16,-0.65
2.81,-8.94,-4.86,-2.63,-0.22,-1.53
3.90,-8.77,-5.59,-0.19,-0.44,1.55
5.52,-6.62,-6.15,-0.87,-0.70,-2.59
-0.53,-4.77,-7.86,-5.65,-3.18,-2.86
-1.05,-5.79,-5.89,-0.10,-1.64,0.30
-3.58,-9.08,-12.03,6.11,-0.10,3.58
-2.34,-13.22,-17.03,-2.98,-4.41,3.83
-0.77,-10.26,-9.82,-3.89,-3.40,-2.06
2.25,-6.08,-12.31,0.68,-0.23,0.59
0.05,-7.66,-12.03,-3.72,-2.53,-4.05
-3.16,-6.05,-8.41,-3.83,-1.39,-2.28
-2.58,-9.82,-11.83,0.12,0.19,-3.04
-3.21,-8.60,-9.53,-4.68,-1.70,-1.33
-4.84,-6.04,-9.20,-0.75,0.58,-1.30
-2.52,-4.98,-9.11,-2.11,-0.66,-0.78
-3.95,-3.59,-9.13,2.18,2.56,-0.28
0.33,-8.47,-15.20,3.28,1.93,0.15
-1.43,-8.75,-11.52,-2.22,-2.20,-4.35
-1.56,0.51,-8.55,-1.33,0.19,-1.81
2.53,-4.49,-9.76,1.58,1.40,0.27
-2.03,-3.71,-10.34,-1.95,-2.10,-2.31
-7.42,-5.10,-10.17,-0.92,-4.16,-2.59
-6.24,-6.26,-11.23,1.41,-2.11,-2.10
-2.77,-3.45,-11.54,-1.70,-3.13,-0.04
-7.56,-2.48,-7.81,3.93,1.43,0.63
-3.92,-4.74,-15.53,-1.02,-0.30,-1.51
-7.71,-5.25,-12.99,-1.92,-2.37,-0.57
