8.04,-0.62,-8.80,-1.59,-0.33,-0.91
8.26,-0.67,-8.95,-1.59,-0.33,-0.88
8.26,-0.45,-9.56,-1.54,-0.30,-0.86
8.25,-0.11,-10.12,-1.54,-0.28,-0.85
8.57,1.78,-9.81,-1.67,-0.56,-0.47
7.85,1.75,-10.59,-1.72,-0.50,-0.49
7.91,2.00,-10.41,-1.61,-0.55,-0.46
7.99,2.15,-10.25,-1.62,-0.56,-0.43
8.03,2.24,-10.17,-1.65,-0.59,-0.40
8.07,2.35,-10.13,-1.67,-0.60,-0.37
7.39,3.67,-9.60,-0.90,-0.19,-0.22
7.33,3.65,-9.54,-0.82,-0.24,-0.14
7.23,3.61,-9.55,-0.78,-0.30,-0.06
7.07,3.66,-9.44,-0.77,-0.40,-0.00
6.96,3.68,-9.27,-0.79,-0.54,0.05
6.86,3.81,-9.47,-0.41,-0.17,0.05
6.93,3.82,-9.45,-0.37,-0.14,0.04
6.73,3.94,-9.58,-0.35,-0.12,0.02
6.66,3.93,-9.49,-0.39,-0.17,0.03
6.90,3.59,-9.30,-0.36,-0.13,0.02
6.86,4.09,-9.45,-0.04,0.06,-0.12
6.85,4.06,-9.42,-0.02,0.07,-0.12
6.68,4.10,-9.38,-0.01,0.07,-0.11
6.72,4.08,-9.22,0.01,0.07,-0.10
6.63,4.11,-9.19,0.03,0.06,-0.10
6.61,4.18,-9.19,0.07,0.07,-0.08
6.62,4.57,-8.97,0.13,-0.08,0.09
6.60,4.55,-8.90,0.10,-0.13,0.12
6.56,4.42,-8.85,0.09,-0.16,0.14
6.53,4.38,-8.80,0.09,-0.18,0.15
6.51,4.41,-8.80,0.09,-0.19,0.14
6.65,4.31,-8.95,-0.06,-0.01,-0.10
6.63,4.35,-8.96,-0.02,0.00,-0.14
6.60,4.42,-9.02,0.01,0.02,-0.15
6.60,4.38,-9.04,0.01,0.02,-0.16
6.60,4.31,-9.04,0.01,0.02,-0.17
6.68,4.24,-8.98,0.01,0.04,-0.18
6.92,4.28,-9.46,-0.24,-0.21,0.06
6.82,4.27,-9.59,-0.22,-0.17,0.04
6.90,4.24,-9.57,-0.20,-0.13,0.02
6.73,4.33,-9.57,-0.17,-0.10,-0.00
6.82,4.29,-9.50,-0.14,-0.07,-0.01
6.53,3.68,-9.59,0.25,0.16,-0.23
6.43,3.74,-9.57,0.27,0.17,-0.25
6.42,3.86,-9.46,0.30,0.17,-0.25
6.40,4.02,-9.39,0.33,0.15,-0.25
6.43,4.17,-9.33,0.35,0.11,-0.22
6.54,4.25,-9.41,0.36,0.07,-0.21
6.21,3.97,-8.74,0.15,-0.21,0.09
6.38,3.98,-8.94,0.14,-0.22,0.07
6.50,4.10,-9.07,0.13,-0.21,0.04
